subject_id,prompt,neg_prompt,gt_image_path,ip_embed_path
subj01,An old train is traveling down the track in a black and white photograph.,,hdf5_index_74,
subj01,There are ships docked on the city's waterfront.,,hdf5_index_75,
subj01,A picture of the head of a brown cow wearing a halter.,,hdf5_index_76,
subj01,a young blonde standing and playing with her cell phone,,hdf5_index_77,
subj01,A tall giraffe eats from its feeder on the post.,,hdf5_index_78,
subj01,Man in living room with red back pack.,,hdf5_index_79,
subj01,A large jetliner sitting in front of a tall building.,,hdf5_index_80,
subj01,An african man in white clothing on a laptop.,,hdf5_index_81,
subj01,A man on a bicycle wearing a scary mask.,,hdf5_index_82,
subj01,Three buzzards are standing on a dry grassy field.,,hdf5_index_83,
subj01,A person standing on a tennis court holding a racket.,,hdf5_index_84,
subj01,A yellow and blue train stopped at a train station.,,hdf5_index_85,
subj01,A red dog laying down next to a book.,,hdf5_index_86,
subj01,The girl and baby are sitting under a trellis. ,,hdf5_index_87,
subj01,Beautifully intricate antique timepiece on the front of this castle-inspired building.,,hdf5_index_88,
subj01,a couple of chairs sit next to a mirror,,hdf5_index_89,
subj01,white galley kitchen with messy counters and sunny window,,hdf5_index_90,
subj01,A white and red bus is traveling down a road.,,hdf5_index_91,
subj01,Old passenger train making its way down from a rocky hill. ,,hdf5_index_92,
subj01,A street filled with traffic and traffic lights.,,hdf5_index_93,
subj01,An old bus painted teal and converted into a home.,,hdf5_index_94,
subj01,People are riding ramps on a skateboard in a fenced area.,,hdf5_index_95,
subj01,a person holding a orange over a cup,,hdf5_index_96,
subj01,A grey painted fire hydrant on a sidewalk.,,hdf5_index_97,
subj01,A group of people and some cows in a field.,,hdf5_index_98,
subj01,A vase filled with flowers on top of a counter.,,hdf5_index_99,
subj01,A big elephant that is standing in the tall grass.,,hdf5_index_100,
subj01,The skateboard is on a sidewalk near mounds of snow. ,,hdf5_index_101,
subj01,A red double decker bus parked next to a group of women.,,hdf5_index_102,
subj01,A woman catching a Frisbee in a black and white photo.,,hdf5_index_103,
subj01,A city street filled with small buses and tall buildings.,,hdf5_index_104,
subj01,A pair of people sit in a helicopter off of the ground.,,hdf5_index_105,
subj01,A very large giraffe in a fenced enclosure.,,hdf5_index_106,
subj01,Two elephants standing next to each other in a grass field.,,hdf5_index_107,
subj01,a parked motorcycle water clouds grass and sky,,hdf5_index_108,
subj01,A fire truck turning at the corner of a road. ,,hdf5_index_109,
subj01,A man on a boat holding his dog in his lap.,,hdf5_index_110,
subj01,A line of people are riding bicycles on the street.,,hdf5_index_111,
subj01,An airplane is traveling on an airport runway.,,hdf5_index_112,
subj01,A man leaning on his motorcycle along the roadside.,,hdf5_index_113,
subj01,Three plates that have a piece of pizza on each.,,hdf5_index_114,
subj01,People sitting on a train with one person looking up at a mirror and taking a photo of the reflection with a camera.,,hdf5_index_115,
subj01,"Bread, soup, and fruit are pictured together on plates. ",,hdf5_index_116,
subj01,A pizza sitting on top of a wooden cutting board.,,hdf5_index_117,
subj01,a close up of a cat on a window sill,,hdf5_index_118,
subj01,A train is moving on tracks beside a sidewalk.,,hdf5_index_119,
subj01,A baseball player holding a bat next to home plate.,,hdf5_index_120,
subj01,A pair of people sit in a helicopter off of the ground.,,hdf5_index_121,
subj01,A table with a plate of food and a urinal basin,,hdf5_index_122,
subj01,A plate holding a grilled cheese sandwich and bowl of soup.,,hdf5_index_123,
subj01,a snowboarder is doing an aerial trick ,,hdf5_index_124,
subj01,a cake with some cream on it put on a wooden table,,hdf5_index_125,
subj01,A group of three giraffes standing in the zoo. ,,hdf5_index_126,
subj01,A street filled with lots of parked motorcycles.,,hdf5_index_127,
subj01,A plate with various sashimi and breads on it.,,hdf5_index_128,
subj01,A group of trucks sitting on top of a dirt field.,,hdf5_index_129,
subj01,A young child holding onto a small baseball bat,,hdf5_index_130,
subj01,A man sitting on top of a bench with a little girl.,,hdf5_index_131,
subj01,a tower with a clock is on top if a building,,hdf5_index_132,
subj01,A lot of Christmas ornaments are hung on the tree.,,hdf5_index_133,
subj01,A tennis player has thrown a ball into the air before serving it.,,hdf5_index_134,
subj01,A white microwave that is under kitchen cabinets.,,hdf5_index_135,
subj01,A man with a white shirt and dress pants outside in the rain with an umbrella.,,hdf5_index_136,
subj01,some people are riding surfboards on a wave,,hdf5_index_137,
subj01,A bathroom showing the toilet all done in white.,,hdf5_index_138,
subj01,many people on a beach with a kite flying in the sky,,hdf5_index_139,
subj01,A bowl filled with lemons sitting on top of a counter.,,hdf5_index_140,
subj01,Two people on one side of a grass tennis court playing a tennis game together.,,hdf5_index_141,
subj01,A dog is carrying a frisbee in his mouth ,,hdf5_index_142,
subj01,A horse in a penn standing on a farm as the sun sets.,,hdf5_index_143,
subj01,Some food is layed out on a table,,hdf5_index_144,
subj01,Kitchen in run down house with fridge opposite sink and bathroom in far side.,,hdf5_index_145,
subj01,Man riding a snow board down a long slick area.,,hdf5_index_146,
subj01,"A counter with dishes, a plant and a knife holder on it. ",,hdf5_index_147,
subj01,Kitchen in run down house with fridge opposite sink and bathroom in far side.,,hdf5_index_148,
subj01,Blonde haired boy doing a jump while riding a skate board.,,hdf5_index_149,
subj01,Two giraffe are standing close together in wet sand.,,hdf5_index_150,
subj01,A young girl wearing a red tie is adjusting her glasses. ,,hdf5_index_151,
subj01,A toilet with a couple of floor mats near them.,,hdf5_index_152,
subj01,a kitty in a red knitted hat with ears ,,hdf5_index_153,
subj01,A group of people and some cows in a field.,,hdf5_index_154,
subj01,A couple of giraffe standing on top of a grass covered field.,,hdf5_index_155,
subj01,"A white toilet, sink and shower stand in a bathroom.",,hdf5_index_156,
subj01,Three people standing in a field playing baseball.,,hdf5_index_157,
subj01,The people are swimming in the water beside the buildings.,,hdf5_index_158,
subj01,A telephone booth and a red bus on the side of the street.,,hdf5_index_159,
subj01,a cooked pizza near an uncooked pizza ,,hdf5_index_160,
subj01,A shot that shows the huge bathroom with the open toilet. ,,hdf5_index_161,
subj01,A cat and dog laying next to one another,,hdf5_index_162,
subj01,A woman riding skis down a snow covered slope.,,hdf5_index_163,
subj01,A woman jumping a black horse over a wooden log barrier.,,hdf5_index_164,
subj01,A man riding down the side of a wooden skateboard ramp.,,hdf5_index_165,
subj01,A person holding a remote control in their hand.,,hdf5_index_166,
subj01,A man sitting at a table while using a laptop computer.,,hdf5_index_167,
subj01,A cat sitting outside on a bench on a sunny day.,,hdf5_index_168,
subj01,A white toilet sitting next to a white bath tub.,,hdf5_index_169,
subj01,Room with wood covered wall and floor with two beds.,,hdf5_index_170,
subj01,a man sitting on a surf board looking out at the ocean ,,hdf5_index_171,
subj01,a man sitting on a surf board looking out at the ocean ,,hdf5_index_172,
subj01,A bathroom with wall to wall mirror and sink ,,hdf5_index_173,
subj01,A person laying back in a body of water while holding an umbrella reading a book.,,hdf5_index_174,
subj01,A women who is standing by a barb wire fence.,,hdf5_index_175,
subj01,Man on a skateboard wearing helmet and knee pads safety gear.,,hdf5_index_176,
subj01,a couple of people playing with a throwing disc in a park.,,hdf5_index_177,
subj01,a toilet and a wash area and windows,,hdf5_index_178,
subj01,A train coming down the tracks on a sunny day ,,hdf5_index_179,
subj01,A street traveling past red brick homes with trees.,,hdf5_index_180,
subj01,"a room with a floor mat that has two animal feeding bowls on it, one for food and one for water.",,hdf5_index_181,
subj01,A man trying to eat his food with a fork.,,hdf5_index_182,
subj01,A woman standing on a tennis court hitting a tennis ball.,,hdf5_index_183,
subj01,An oven and a range on a table,,hdf5_index_184,
subj01,A group of cows on a grassy field.,,hdf5_index_185,
subj01,A person carrying a skateboard as they walk forward.,,hdf5_index_186,
subj01,A white and red bus is traveling down a road.,,hdf5_index_187,
subj01,A bathroom with wall to wall mirror and sink ,,hdf5_index_188,
subj01,A passenger jet coming in for a landing over a big city.,,hdf5_index_189,
subj01,A baseball player hitting a ball with  a bat.,,hdf5_index_190,
subj01,a man plays baseball on a field with grass.,,hdf5_index_191,
subj01,A person on a yellow surfboard riding a wave.,,hdf5_index_192,
subj01,A bench in front of flowers at night,,hdf5_index_193,
subj01,Three people on the beach standing with surfboards.,,hdf5_index_194,
subj01,This is an image of two clock towers in a city.,,hdf5_index_195,
subj01,A person carrying a skateboard as they walk forward.,,hdf5_index_196,
subj01,A row of parked airplanes sitting on top of a grass field.,,hdf5_index_197,
subj01,A man riding a wave on top of a surfboard.,,hdf5_index_198,
subj01,a number of animals near a shallow body of water with trees in the background ,,hdf5_index_199,
subj01,A man that is on the back of a horse.,,hdf5_index_200,
subj01,A gray tiger stripe cat laying on top of a wooden bench.,,hdf5_index_201,
subj01,A bus parked in front of a bus stop.,,hdf5_index_202,
subj01,"A man takes a picture in the bathroom mirror
",,hdf5_index_203,
subj01,Several people in a truck driving down the road.,,hdf5_index_204,
subj01,A baseball player wearing a catchers mitt on a field.,,hdf5_index_205,
subj01,A man showing off his bowl of noodles and vegetables,,hdf5_index_206,
subj01,A vintage photograph of women in old style swimsuits and one in a dress. ,,hdf5_index_207,
subj01,A woman standing next to a tree holding a pink frisbee.,,hdf5_index_208,
subj01,A guy in a blue shirt holds up a green and blue umbrella.,,hdf5_index_209,
subj01,A woman sitting cross legged on a mattress,,hdf5_index_210,
subj01,A bus drives down the street in a residential area. ,,hdf5_index_211,
subj01,"a room with a floor mat that has two animal feeding bowls on it, one for food and one for water.",,hdf5_index_212,
subj01,A woman catching a Frisbee in a black and white photo.,,hdf5_index_213,
subj01,An old bathroom with a sink and toilet.,,hdf5_index_214,
subj01,A person on a skateboard rides on a platform.,,hdf5_index_215,
subj01,A brown desk with a wooden chair in a classroom.,,hdf5_index_216,
subj01,A bunch of different bikes on a wooden floor.,,hdf5_index_217,
subj01,Several zebras and other animals in a grassy field near trees.,,hdf5_index_218,
subj01,A couple of men standing next to each other holding catchers mitts.,,hdf5_index_219,
subj01,"A type of bread with cheese, sauce, and seasonings on it.",,hdf5_index_220,
subj01,"A child standing in front of a small refrigerator drinking a beverage.
",,hdf5_index_221,
subj01,Beautifully intricate antique timepiece on the front of this castle-inspired building.,,hdf5_index_222,
subj01,A cheeseburger is pictured on a tray next to a cup.,,hdf5_index_223,
subj01,A man sitting on top of a bench with a little girl.,,hdf5_index_224,
subj01,two men in suits standing next to each other ,,hdf5_index_225,
subj01,A street filled with lots of parked motorcycles.,,hdf5_index_226,
subj01,A side mirror of a bus on a street.,,hdf5_index_227,
subj01,Friends in wetsuits surfing in a calm ocean,,hdf5_index_228,
subj01,"A white pizza sliced in on a board along with two plates, utensils and pink napkins.",,hdf5_index_229,
subj01,A man preparing foods behind the counter displaying pizzas. ,,hdf5_index_230,
subj01,A couple of people standing in a field flying a kite.,,hdf5_index_231,
subj01,A stop sign by a beach next to some placid water.,,hdf5_index_232,
subj01,A young boy bending over holding a catchers mitt.,,hdf5_index_233,
subj01,A television that is on top of a wooden stand.,,hdf5_index_234,
subj01,A snow skier is going next to flags on the snow.,,hdf5_index_235,
subj01,Two donuts sitting on a brown paper wrapper.,,hdf5_index_236,
subj01,A dinner table next to a fire place topped with a vase full of flowers.,,hdf5_index_237,
subj01,A group of people that are in a terminal.,,hdf5_index_238,
subj01,The sculpture is of five people in clown costumes riding one long bike.,,hdf5_index_239,
subj01,Two elephants with their mouths open drinking water from a hose.,,hdf5_index_240,
subj01,A bowl filled with lemons sitting on top of a counter.,,hdf5_index_241,
subj01,A woman sits alone reading a book on a metal bench outside.,,hdf5_index_242,
subj01,A couple of men wearing uniforms playing a game of baseball.,,hdf5_index_243,
subj01,A truck pulled over on the side of the road.,,hdf5_index_244,
subj01,A man standing next to a street holding a red umbrella.,,hdf5_index_245,
subj01,a gray and white cat sitting by a window,,hdf5_index_246,
subj01,A person jumping up into the air with a skateboard.,,hdf5_index_247,
subj01,A large jetliner sitting in front of a tall building.,,hdf5_index_248,
subj01,A red vase sitting on top of a piano filled with red flowers.,,hdf5_index_249,
subj01,Several motor bikes going down a city road.,,hdf5_index_250,
subj01,A bird standing in a grassy and sandy area.,,hdf5_index_251,
subj01,"Street view with cars going by and people walking around,",,hdf5_index_252,
subj01,A YOUNG LADY ON THE COURT IS PLAYING TENNIS,,hdf5_index_253,
subj01,A line in front of a black lunch truck.,,hdf5_index_254,
subj01,A white microwave oven sitting on top of a table.,,hdf5_index_255,
subj01,a grey cat sitting by a round mirror,,hdf5_index_256,
subj01,Two dogs with collars outside in the grass.,,hdf5_index_257,
subj01,The polar bear stands idly in his habitat waiting for something to kill.,,hdf5_index_258,
subj01,There is a man surfing along in the water.,,hdf5_index_259,
subj01,A bathroom with a bunch of white tiles in it.,,hdf5_index_260,
subj01,A man riding a snowboard on top of a snow covered slope.,,hdf5_index_261,
subj01,Two trains sitting next to a train platform.,,hdf5_index_262,
subj01,A dinner table next to a fire place topped with a vase full of flowers.,,hdf5_index_263,
subj01,A man standing next to a street holding a red umbrella.,,hdf5_index_264,
subj01,Kitchen in run down house with fridge opposite sink and bathroom in far side.,,hdf5_index_265,
subj01,An above view of a large calm river,,hdf5_index_266,
subj01,cups and saucers filled with soups and vegetables on a table,,hdf5_index_267,
subj01,A person on a skateboard weaving through a slalom of traffic cones,,hdf5_index_268,
subj01,A large white jetliner sitting on top of an airport runway.,,hdf5_index_269,
subj01,A couple of men wearing uniforms playing a game of baseball.,,hdf5_index_270,
subj01,a person riding a skate board on a skate park,,hdf5_index_271,
subj01,A zebra in an enclosure behind a wire fence.,,hdf5_index_272,
subj01,A clock tower is in the gray sky.,,hdf5_index_273,
subj01,A woman in a white coat in the snow wearing skis. ,,hdf5_index_274,
subj01,"Pendant lights illuminate a bathroom sink for two.
",,hdf5_index_275,
subj01,A group of people sitting and laying on top of a beach.,,hdf5_index_276,
subj01,A giraffe laying on the ground next to birds on rocky ground.,,hdf5_index_277,
subj01,A telephone booth and a red bus on the side of the street.,,hdf5_index_278,
subj01,A black and white dog looking at a frisbee on a grass lawn.,,hdf5_index_279,
subj01,A group of three giraffes standing in the zoo. ,,hdf5_index_280,
subj01,A jeep parked on a beach with a man standing in front of it watching kites fly.,,hdf5_index_281,
subj01,A baseball player hitting a ball with  a bat.,,hdf5_index_282,
subj01,"Pendant lights illuminate a bathroom sink for two.
",,hdf5_index_283,
subj01,A man that is sitting on a motorcylce.,,hdf5_index_284,
subj01,a number of animals near a shallow body of water with trees in the background ,,hdf5_index_285,
subj01,A grey and black bathroom with an odd shape vanity.,,hdf5_index_286,
subj01,A grey and black bathroom with an odd shape vanity.,,hdf5_index_287,
subj01,Two elephants standing next to each other in a grass field.,,hdf5_index_288,
subj01,The giraffe is walking toward a rock on a trail. ,,hdf5_index_289,
subj01,A man taking a swing at a tennis ball,,hdf5_index_290,
subj01,A group of three urinals mounted to a wall.,,hdf5_index_291,
subj01,"A bathroom showing sink, toilet, and shower ",,hdf5_index_292,
subj01,A street is shown with cars travelling down it.,,hdf5_index_293,
subj01,"a room with a floor mat that has two animal feeding bowls on it, one for food and one for water.",,hdf5_index_294,
subj01,A bus stop sign on a city street.,,hdf5_index_295,
subj01,A man and a woman cutting a cake together.,,hdf5_index_296,
subj01,A man standing in the forest holding a frisbee.,,hdf5_index_297,
subj01,An orange and gray bus driving across a rain soaked road.,,hdf5_index_298,
subj01,A turtle eating plans from a stone bowl.,,hdf5_index_299,
subj01,The group of people are on the beach flying kites. ,,hdf5_index_300,
subj01,A young boy and girl sitting and eating at a childs table with a dog nearby.,,hdf5_index_301,
subj01,A herd of animals eating food inside of a pen.,,hdf5_index_302,
subj01,A train on a bridge traveling over a body of water.,,hdf5_index_303,
subj01,A zebra is standing away from the giraffe. ,,hdf5_index_304,
subj01,A man hugs a woman as they sit in the snow with snowboards on.,,hdf5_index_305,
subj01,A large white plate of food on a table.,,hdf5_index_306,
subj01,Several different types of electronics sprawled out on a bed.,,hdf5_index_307,
subj01,A lone toilet sits in a stone bathroom,,hdf5_index_308,
subj01,Two people riding horses in a grassy field.,,hdf5_index_309,
subj01,People are riding ramps on a skateboard in a fenced area.,,hdf5_index_310,
subj01,A vintage photograph of women in old style swimsuits and one in a dress. ,,hdf5_index_311,
subj01,Windsurfers in the ocean during a fairly heavy breeze.,,hdf5_index_312,
subj01,A bird's eye view of a tennis match in a crowded stadium.,,hdf5_index_313,
subj01,An ornate set of vases on display on shelves.,,hdf5_index_314,
subj01,A little girl sitting in front of a white bag filled with green apples.,,hdf5_index_315,
subj01,A person in a blue t-shirt riding a surfboard in the ocean. ,,hdf5_index_316,
subj01,Two sheep standing in a sunny green  field,,hdf5_index_317,
subj01,A traffic light with a couple of green street signs mounted to it's sides.,,hdf5_index_318,
subj01,A large U.S Air Force plain sits on an asphalt ramp.,,hdf5_index_319,
subj01,A yellow and blue train stopped at a train station.,,hdf5_index_320,
subj01,"A white and red plane with a caption reading ""avlon.""",,hdf5_index_321,
subj01,A number of trains sitting in a warehouse,,hdf5_index_322,
subj01,two elephants forage on the ground at a zoo,,hdf5_index_323,
subj01,A group of cattle grazing in a field behind a fence.,,hdf5_index_324,
subj01,A group of small colorful boats sitting on a beach next to the ocean.,,hdf5_index_325,
subj01,some pizzas sitting on table surrounded by some drins and placemats,,hdf5_index_326,
subj01,A man with a surf board is walking towards the beach.,,hdf5_index_327,
subj01,a man sitting on a surf board looking out at the ocean ,,hdf5_index_328,
subj01,A metallic freezer refrigerator in a kitchen next to wooden cabinets.,,hdf5_index_329,
subj01,A clean white bathroom with a simple mirror above the vanity.,,hdf5_index_330,
subj01,A stop sign attached to the corner of a building ,,hdf5_index_331,
subj01,A man riding on the back of a red motorcycle.,,hdf5_index_332,
subj01,many people on a beach with a kite flying in the sky,,hdf5_index_333,
subj01,A city street filled with traffic and surrounded by  buildings.,,hdf5_index_334,
subj01,Trees sitting gin vases next to a marble wall.,,hdf5_index_335,
subj01,a female is standing on a black couch with a video game controller,,hdf5_index_336,
subj01,"refreshed and unable to see image, have had this problem before",,hdf5_index_337,
subj01,A young adult sprawled out on a couch with his feet in the air. ,,hdf5_index_338,
subj01,A small plane flying over a beach near the ocean.,,hdf5_index_339,
subj01,A man looking at a cell phone he is holding.,,hdf5_index_340,
subj01,A pole with three road signs stands in front of a building.,,hdf5_index_341,
subj01,The skateboard is on a sidewalk near mounds of snow. ,,hdf5_index_342,
subj01,A presenter projected on a large screen at a conference.,,hdf5_index_343,
subj01,A woman is working on a laptop. ,,hdf5_index_344,
subj01,"Two liquor bottles tower over two partly filled glasses atop a bar counter, as people chat in the background.",,hdf5_index_345,
subj01,A row of bikes that are all parked next to each other.,,hdf5_index_346,
subj01,"A microwave, open cabinets, a teapot, and other assorted objects in a cluttered kitchen.",,hdf5_index_347,
subj01,A person on a snowboard is standing on a rail.,,hdf5_index_348,
subj01,Woman sitting on the ground with a child between her legs. ,,hdf5_index_349,
subj01,a motorcycle that has some sticks on his back,,hdf5_index_350,
subj01,A herd of sheep grazing on a green grass pasture.,,hdf5_index_351,
subj01,A bench in front of flowers at night,,hdf5_index_352,
subj01,A clock in front of an abstract design.,,hdf5_index_353,
subj01,A black cat is sitting on a suitcase looking up.,,hdf5_index_354,
subj01,A man riding down the side of a wooden skateboard ramp.,,hdf5_index_355,
subj01,a blue korean air airplane sitting on the track,,hdf5_index_356,
subj01,Two red and yellow trains parked next to each other.,,hdf5_index_357,
subj01,Many sheep grazing on a lush green flatland.,,hdf5_index_358,
subj01,A single zebra grazing in a grass field.,,hdf5_index_359,
subj01,A boy hitting a tennis ball with a racquet.,,hdf5_index_360,
subj01,A man standing next to a street holding a red umbrella.,,hdf5_index_361,
subj01,Several zebras and other animals in a grassy field near trees.,,hdf5_index_362,
subj01,A clean white bathroom with a simple mirror above the vanity.,,hdf5_index_363,
subj01,A woman opening a refrigerator door in a kitchen.,,hdf5_index_364,
subj01,A couch sitting on top of a field of grass.,,hdf5_index_365,
subj01,A giraffe next to a car with a trees in the background.,,hdf5_index_366,
subj01,A white toilet sitting underneath a window next to a sink.,,hdf5_index_367,
subj01,A bowl filled with lemons sitting on top of a counter.,,hdf5_index_368,
subj01,A man sitting on top of a bench with a little girl.,,hdf5_index_369,
subj01,a refrigerator with drinks inside next to two tables and chairs,,hdf5_index_370,
subj01,A birthday cake sitting on a kitchen counter.,,hdf5_index_371,
subj01,A truck pulled over on the side of the road.,,hdf5_index_372,
subj01,A person on a court with a tennis racket.,,hdf5_index_373,
subj01,Blonde haired boy doing a jump while riding a skate board.,,hdf5_index_374,
subj01,a female is standing on a black couch with a video game controller,,hdf5_index_375,
subj01,A set of high heels placed in a luxury tote bag,,hdf5_index_376,
subj01,A man is walking on the shore with a surfboard.,,hdf5_index_377,
subj01,A red dog laying down next to a book.,,hdf5_index_378,
subj01,a person riding a surf board behind a boat,,hdf5_index_379,
subj01,A pair of skiers kick up some powder on a virgin slope.,,hdf5_index_380,
subj01,A picture of the head of a brown cow wearing a halter.,,hdf5_index_381,
subj01,A person in  a wetsuit riding on a surfboard,,hdf5_index_382,
subj01,A man on a bicycle wearing a scary mask.,,hdf5_index_383,
subj01,Some cows that have a yellow tag in their ears.,,hdf5_index_384,
subj01,A delivery truck with a tractor on the back of it.,,hdf5_index_385,
subj01,A little girl sitting in front of a white bag filled with green apples.,,hdf5_index_386,
subj01,Many sheep grazing on a lush green flatland.,,hdf5_index_387,
subj01,A white toilet sitting next to a white bath tub.,,hdf5_index_388,
subj01,a pizza cooking in an oven and its covered with tin foil,,hdf5_index_389,
subj01,A women who is standing by a barb wire fence.,,hdf5_index_390,
subj01,A cat sitting outside on a bench on a sunny day.,,hdf5_index_391,
subj01,The front of a building that has a clock on the very top.,,hdf5_index_392,
subj01,A man looking at a cell phone he is holding.,,hdf5_index_393,
subj01,Parents watching their kids play baseball at the baseball park.,,hdf5_index_394,
subj01,"A baseball player is running into home base, seen fro the stands.",,hdf5_index_395,
subj01,A metallic red microwave on top of a fridge-freezer,,hdf5_index_396,
subj01,The motorcycle is parked next to a building close to plastic stools.,,hdf5_index_397,
subj01,A giraffe standing next to a rotten looking tree.,,hdf5_index_398,
subj01,A man sitting in a chair with a black dog in front of a computer.,,hdf5_index_399,
subj01,A person in  a wetsuit riding on a surfboard,,hdf5_index_400,
subj01,"A view of a living room couch, chair, desk and window.",,hdf5_index_401,
subj01,"a city's traffic with buses, cars and pedestrians crossing.",,hdf5_index_402,
subj01,A room full of people eating food together.,,hdf5_index_403,
subj01,A giraffe standing next to a rotten looking tree.,,hdf5_index_404,
subj01,The motorcycle is parked next to a building close to plastic stools.,,hdf5_index_405,
subj01,There is a clock with a glass front door,,hdf5_index_406,
subj01,"A table, stove and refrigerator in a kitchen.",,hdf5_index_407,
subj01,A person in  a wetsuit riding on a surfboard,,hdf5_index_408,
subj01,An orange and gray bus driving across a rain soaked road.,,hdf5_index_409,
subj01,A dog sticks its out out the window of a car. ,,hdf5_index_410,
